PID,EVENT,RD,BLOCK,NUM
11132,Q,WS,10286,1
11132,Q,WS,10287,1
11132,Q,WS,10288,1
11132,Q,WS,10289,1
11132,Q,WS,10290,1
11132,Q,WS,10291,1
11132,Q,WS,52,1
11132,Q,WS,10292,1
11132,Q,WS,60,1
11132,Q,WS,10300,1
11132,Q,WS,61,1
11132,Q,WS,10301,1
11132,Q,WS,62,1
11132,Q,WS,10302,1
11132,Q,WS,63,1
11132,Q,WS,10303,1
11132,Q,WS,64,1
11132,Q,WS,10304,1
11132,Q,WS,65,1
11132,Q,WS,10305,1
11132,Q,WS,66,1
11132,Q,WS,10306,1
11132,Q,WS,67,1
11132,Q,WS,10307,1
11132,Q,WS,68,1
11132,Q,WS,10308,1
11132,Q,WS,20512,1
11132,Q,WS,20704,1
11132,Q,WS,20513,1
11132,Q,WS,20513,1
11132,Q,WS,52,1
11132,Q,WS,53,1
11132,Q,WS,54,1
11132,Q,WS,55,1
11132,Q,WS,56,1
11132,Q,WS,57,1
11132,Q,WS,58,1
11132,Q,WS,59,1
11132,Q,WS,10292,1
11132,Q,WS,10293,1
11132,Q,WS,10294,1
11132,Q,WS,10295,1
11132,Q,WS,10296,1
11132,Q,WS,10297,1
11132,Q,WS,10298,1
11132,Q,WS,10299,1
11132,Q,WS,60,1
11132,Q,WS,10300,1
11132,Q,WS,68,1
11132,Q,WS,10308,1
11132,Q,WS,69,1
11132,Q,WS,10309,1
11132,Q,WS,70,1
11132,Q,WS,10310,1
11132,Q,WS,71,1
11132,Q,WS,10311,1
11132,Q,WS,72,1
11132,Q,WS,10312,1
11132,Q,WS,73,1
11132,Q,WS,10313,1
11132,Q,WS,74,1
11132,Q,WS,10314,1
11132,Q,WS,75,1
11132,Q,WS,10315,1
11132,Q,WS,76,1
11132,Q,WS,10316,1
11132,Q,WS,20512,1
11132,Q,WS,20704,1
11132,Q,WS,20513,1
11132,Q,WS,20513,1
11132,Q,WS,60,1
11132,Q,WS,61,1
11132,Q,WS,62,1
11132,Q,WS,63,1
11132,Q,WS,64,1
11132,Q,WS,65,1
11132,Q,WS,66,1
11132,Q,WS,67,1
11132,Q,WS,10300,1
11132,Q,WS,10301,1
11132,Q,WS,10302,1
11132,Q,WS,10303,1
11132,Q,WS,10304,1
11132,Q,WS,10305,1
11132,Q,WS,10306,1
11132,Q,WS,10307,1
11132,Q,WS,68,1
11132,Q,WS,10308,1
11132,Q,WS,76,1
11132,Q,WS,10316,1
11132,Q,WS,77,1
11132,Q,WS,10317,1
11132,Q,WS,78,1
11132,Q,WS,10318,1
11132,Q,WS,79,1
11132,Q,WS,10319,1
11132,Q,WS,80,1
11132,Q,WS,10320,1
11132,Q,WS,81,1
11132,Q,WS,10321,1
11132,Q,WS,82,1
11132,Q,WS,10322,1
11132,Q,WS,83,1
11132,Q,WS,10323,1
11132,Q,WS,84,1
11132,Q,WS,10324,1
11132,Q,WS,20512,1
11132,Q,WS,84,1
11132,Q,WS,10324,1
11132,Q,WS,20704,1
11132,Q,WS,20513,1
11132,Q,WS,20514,1
11132,Q,WS,68,1
11132,Q,WS,69,1
11132,Q,WS,70,1
11132,Q,WS,71,1
11132,Q,WS,72,1
11132,Q,WS,73,1
11132,Q,WS,74,1
11132,Q,WS,75,1
11132,Q,WS,10308,1
11132,Q,WS,10309,1
11132,Q,WS,10310,1
11132,Q,WS,10311,1
11132,Q,WS,10312,1
11132,Q,WS,10313,1
11132,Q,WS,10314,1
11132,Q,WS,10315,1
11132,Q,WS,76,1
11132,Q,WS,10316,1
11132,Q,WS,84,1
11132,Q,WS,10324,1
11132,Q,WS,85,1
11132,Q,WS,10325,1
11132,Q,WS,86,1
11132,Q,WS,10326,1
11132,Q,WS,87,1
11132,Q,WS,10327,1
11132,Q,WS,88,1
11132,Q,WS,10328,1
11132,Q,WS,89,1
11132,Q,WS,10329,1
11132,Q,WS,90,1
11132,Q,WS,10330,1
11132,Q,WS,91,1
11132,Q,WS,10331,1
11132,Q,WS,92,1
11132,Q,WS,10332,1
11132,Q,WS,20512,1
11132,Q,WS,20513,1
11132,Q,WS,20704,2
11132,Q,WS,20513,1
11132,Q,WS,20514,1
11132,Q,WS,76,1
11132,Q,WS,77,1
11132,Q,WS,78,1
11132,Q,WS,79,1
11132,Q,WS,80,1
11132,Q,WS,81,1
11132,Q,WS,82,1
11132,Q,WS,83,1
11132,Q,WS,10316,1
11132,Q,WS,10317,1
11132,Q,WS,10318,1
11132,Q,WS,10319,1
11132,Q,WS,10320,1
11132,Q,WS,10321,1
11132,Q,WS,10322,1
11132,Q,WS,10323,1
11132,Q,WS,84,1
11132,Q,WS,10324,1
11132,Q,WS,92,1
11132,Q,WS,10332,1
11132,Q,WS,93,1
11132,Q,WS,10333,1
11132,Q,WS,94,1
11132,Q,WS,10334,1
11132,Q,WS,95,1
11132,Q,WS,10335,1
11132,Q,WS,96,1
11132,Q,WS,10336,1
11132,Q,WS,97,1
11132,Q,WS,10337,1
11132,Q,WS,98,1
11132,Q,WS,10338,1
11132,Q,WS,99,1
11132,Q,WS,10339,1
11132,Q,WS,100,1
11132,Q,WS,10340,1
11132,Q,WS,20512,1
11132,Q,WS,20705,1
11132,Q,WS,20513,1
11132,Q,WS,20514,1
11132,Q,WS,84,1
11132,Q,WS,85,1
11132,Q,WS,86,1
11132,Q,WS,87,1
11132,Q,WS,88,1
11132,Q,WS,89,1
11132,Q,WS,90,1
11132,Q,WS,91,1
11132,Q,WS,10324,1
11132,Q,WS,10325,1
11132,Q,WS,10326,1
11132,Q,WS,10327,1
11132,Q,WS,10328,1
11132,Q,WS,10329,1
11132,Q,WS,10330,1
11132,Q,WS,10331,1
11132,Q,WS,92,1
11132,Q,WS,10332,1
11132,Q,WS,100,1
11132,Q,WS,10340,1
11132,Q,WS,101,1
11132,Q,WS,10341,1
11132,Q,WS,102,1
11132,Q,WS,10342,1
11132,Q,WS,103,1
11132,Q,WS,10343,1
11132,Q,WS,104,1
11132,Q,WS,10344,1
11132,Q,WS,105,1
11132,Q,WS,10345,1
11132,Q,WS,106,1
11132,Q,WS,10346,1
11132,Q,WS,107,1
11132,Q,WS,10347,1
11132,Q,WS,108,1
11132,Q,WS,10348,1
11132,Q,WS,20512,1
11132,Q,WS,20705,1
11132,Q,WS,20513,1
11132,Q,WS,178600,1
11132,Q,WS,20513,1
11132,Q,WS,92,1
11132,Q,WS,93,1
11132,Q,WS,94,1
11132,Q,WS,95,1
11132,Q,WS,96,1
11132,Q,WS,97,1
11132,Q,WS,98,1
11132,Q,WS,99,1
11132,Q,WS,10332,1
11132,Q,WS,10333,1
11132,Q,WS,10334,1
11132,Q,WS,10335,1
11132,Q,WS,10336,1
11132,Q,WS,10337,1
11132,Q,WS,10338,1
11132,Q,WS,10339,1
11132,Q,WS,100,1
11132,Q,WS,10340,1
11132,Q,WS,108,1
11132,Q,WS,10348,1
11132,Q,WS,109,1
11132,Q,WS,10349,1
11132,Q,WS,20514,1
11132,Q,WS,109,1
11132,Q,WS,10349,1
11132,Q,WS,110,1
11132,Q,WS,10350,1
11132,Q,WS,111,1
11132,Q,WS,10351,1
11132,Q,WS,112,1
11132,Q,WS,10352,1
11132,Q,WS,113,1
11132,Q,WS,10353,1
11132,Q,WS,20512,1
11132,Q,WS,20705,1
11132,Q,WS,20513,1
11132,Q,WS,189080,1
11132,Q,WS,20512,1
11132,Q,WS,113,1
11132,Q,WS,10353,1
11132,Q,WS,100,1
11132,Q,WS,101,1
11132,Q,WS,102,1
11132,Q,WS,103,1
11132,Q,WS,104,1
11132,Q,WS,105,1
11132,Q,WS,106,1
11132,Q,WS,107,1
11132,Q,WS,10340,1
11132,Q,WS,10341,1
11132,Q,WS,10342,1
11132,Q,WS,10343,1
11132,Q,WS,10344,1
11132,Q,WS,10345,1
11132,Q,WS,10346,1
11132,Q,WS,10347,1
11132,Q,WS,108,1
11132,Q,WS,10348,1
11132,Q,WS,109,1
11132,Q,WS,10349,1
11132,Q,WS,114,1
11132,Q,WS,10354,1
11132,Q,WS,191176,1
11132,Q,WS,20512,1
11132,Q,WS,114,1
11132,Q,WS,10354,1
11132,Q,WS,115,1
11132,Q,WS,10355,1
11132,Q,WS,193272,1
11132,Q,WS,20514,1
11132,Q,WS,115,1
11132,Q,WS,10355,1
11132,Q,WS,116,1
11132,Q,WS,10356,1
11132,Q,WS,195368,1
11132,Q,WS,20514,1
11132,Q,WS,116,1
11132,Q,WS,10356,1
11132,Q,WS,117,1
11132,Q,WS,10357,1
11132,Q,WS,197464,1
11132,Q,WS,20514,1
11132,Q,WS,117,1
11132,Q,WS,10357,1
11132,Q,WS,118,1
11132,Q,WS,10358,1
11132,Q,WS,199560,1
11132,Q,WS,20515,1
11132,Q,WS,118,1
11132,Q,WS,10358,1
11132,Q,WS,119,1
11132,Q,WS,10359,1
11132,Q,WS,199792,1
11132,Q,WS,20515,1
11132,Q,WS,119,1
11132,Q,WS,10359,1
11132,Q,WS,20514,1
11132,Q,WS,20705,1
11132,Q,WS,20706,1
11132,Q,WS,20513,1
